question,answer
What is the distribution of accounts with an ETH/USDT activity count of at least 619 on Uniswap?,"select
address
from 
(select 
    address
    ,sum(transaction_count) transaction_count
         from wired_address_dataset 
         where b_type = 'DeFi'
           AND statistical_type = 'LP'
           AND platform_name IN ('Uniswap_v2', 'Uniswap_v3')
           AND action = 'ALL'
           AND asset = 'ETH/USDT' 
       group by address) t
where transaction_count >= 619
GROUP BY address"
show me all holders of token 0xb8c77482e45f1f44de1745f52c74426c631bdd52,"SELECT address FROM wired_address_dataset 
WHERE token = '0xb8c77482e45f1f44de1745f52c74426c631bdd52' 
and balance_usd>0
GROUP BY address"
show me holders of token which go live most recently?,"SELECT address FROM wired_address_dataset WHERE b_type = 'DeFi' AND statistical_type = 'token' AND platform_name = 'ALLNET' AND action = 'ALL' AND asset =

(
select asset from
(

select asset,row_number() over(order by first_tx_time desc) as rn From
(
SELECT asset, min(first_tx_time) as first_tx_time FROM wired_address_dataset
WHERE b_type = 'DeFi' AND statistical_type = 'token' AND platform_name = 'ALLNET' AND action = 'ALL'
group by asset
) a1
) a3 where rn=1
)
"
show me address that hold azuki and weth?,"SELECT address 
 FROM wired_address_dataset 
 WHERE asset IN ('Azuki', 'Wrapped Ether') 
 AND b_type in ('DeFi','nft')
 AND statistical_type in('token' ,'nft')
 AND platform_name = 'ALLNET' 
 AND action = 'ALL'
 AND balance_usd>0
GROUP BY address"
show me all holders of weth?,"SELECT address 
 FROM wired_address_dataset 
 WHERE b_type = 'DeFi' AND 
 statistical_type = 'token' 
 AND asset = 'Wrapped Ether'
 AND balance_usd>0
GROUP BY address"
Which account has an NFT buying Volume count of $100-$1000 on all Marketplaces?,"SELECT address 
FROM wired_address_dataset 
WHERE b_type = 'nft' 
AND statistical_type = 'nft' 
AND platform_name = 'ALL' 
AND asset = 'ALL' 
AND action = 'Buy' 
AND transaction_volume_usd BETWEEN 100 AND 1000
GROUP BY address"
Which users have an NFT buying Volume count of 1-2?,"SELECT address 
FROM wired_address_dataset 
WHERE b_type = 'nft' 
AND statistical_type = 'nft' 
AND platform_name = 'ALLNET' 
AND asset = 'ALL' AND 
action = 'Buy' 
AND transaction_volume_usd BETWEEN 1 AND 2
GROUP BY address"
Can you show me the accounts in the Web3 industry have an NFT count of over 100?,"SELECT
address
FROM
wired_address_dataset
WHERE
b_type = 'web3'
and statistical_type = 'web3'
and platform_name = 'ALL'
and action = 'ALL'
and asset = 'ALL'
and balance_count > 100
GROUP BY address"
Who are the top 13% of traders based on the volume of (Erc20 Token) trades on Uniswap?,"WITH trader_volumes AS (
 SELECT
  address,
  SUM(transaction_volume_usd) AS total_volume
 FROM
  wired_address_dataset
 WHERE
  b_type = 'DeFi'
 AND statistical_type = 'token'
 AND platform_name  in ( 'Uniswap_v2','Uniswap_v3')
 AND action = 'ALL'
 AND asset != 'ETH'
 AND asset != 'ALL'
 GROUP BY
  address
) SELECT
 address
FROM
 trader_volumes
WHERE
 total_volume >= (
  SELECT
   PERCENTILE_CONT (0.13) WITHIN GROUP (ORDER BY total_volume DESC)
  FROM
   trader_volumes
 )"
Which accounts in the Web3 industry have an article count of 1 on Mirror?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Mirror'
  AND action = 'write'
  AND asset = 'ALL'
  AND balance_count = 1
GROUP BY
  address"
Can you show me the accounts in the Web3 industry have an article count of over 100?,"SELECT address 
FROM wired_address_dataset 
WHERE b_type = 'web3' 
AND statistical_type = 'web3' 
AND platform_name='ALL'
AND action = 'write' 
AND asset = 'ALL' 
AND transaction_count > 100
GROUP BY address"
which account with an activity count of 0-10 are there on all Decentralized Exchanges?,"SELECT
address 
FROM
(SELECT
 address
 ,sum(transaction_count) transaction_count
FROM
    wired_address_dataset
WHERE
b_type = 'DeFi' 
and statistical_type = 'token' 
and platform_name = 'Dex' 
and asset = 'ALL'
and action = 'ALL'
    group by address)a
where transaction_count BETWEEN 0 AND 10
GROUP BY address"
Check for users with more than 1000 uni tokens and more than 500 usdt?,"select
address
from
(SELECT  address
FROM wired_address_dataset
WHERE b_type = 'DeFi'
 AND statistical_type = 'token'
 AND platform_name='ALLNET' 
 AND action = 'ALL'
 AND asset = 'Uniswap'
 AND balance_count > 1000
 INTERSECT
 SELECT  address
 FROM wired_address_dataset
 WHERE b_type = 'DeFi'
  AND statistical_type = 'token'
  AND platform_name='ALLNET' 
  AND action = 'ALL'
  AND asset = 'Tether USD'
  AND balance_count >500) a1
  group by address"
Which accounts on Mirror have an NFT Recipient count of 0-10?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Mirror'
  AND action = 'NFT Recipient'
  AND asset = 'ALL'
  AND balance_count BETWEEN 0 AND 10
GROUP BY address"
Which addresses on Mirror have an NFT Recipient count of at least 619?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Mirror'
  AND action = 'NFT Recipient'
  AND asset = 'ALL'
  AND balance_count >= 619
GROUP BY address"
which accounts with an NFT Recipient count between 400 to 619 on Mirror?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Mirror'
  AND action = 'NFT Recipient'
  AND asset = 'ALL'
  AND balance_count BETWEEN 400 AND 619
GROUP BY address"
Which addresses have an NFT Recipient count between 200 to 400 active on Mirror?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Mirror'
  AND action = 'NFT Recipient'
  AND asset = 'ALL'
  AND  transaction_count BETWEEN 200 AND 400
GROUP BY address"
Which addresses in the Web3 industry have an activity count of at least 619?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
 statistical_type = 'web3'
  AND platform_name = 'ALL'
  AND action = 'ALL'
  AND asset = 'ALL'
  AND  transaction_count >= 619
GROUP BY address"
Which addresses have an activity count between 200 to 400 in the Web3 industry?,"SELECT
  address
FROM wired_address_dataset
WHERE b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ALL'
  AND action = 'ALL'
  AND asset = 'ALL'
  AND transaction_count BETWEEN 200 AND  400
GROUP BY address"
Which accounts on Mirror have a writing activity count of 0-10?,"SELECT
  address
FROM wired_address_dataset
WHERE b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Mirror'
  AND action = 'write'
  AND asset = 'ALL'
  AND transaction_count between 0 AND 10
GROUP BY address"
Which addresses on Mirror have a writing activity count of at least 619?,"SELECT
  address
FROM wired_address_dataset
WHERE b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Mirror'
  AND action = 'write'
  AND asset = 'ALL'
  AND transaction_count >= 619
GROUP BY address"
Which addresses have a writing activity count between 200 to 400 on Mirror?,"SELECT
  address
FROM wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Mirror'
  AND action = 'write'
  AND asset = 'ALL'
  AND transaction_count between 200 AND 400
GROUP BY address"
Which accounts on Mirror have an activity count of 0-10?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Mirror'
  AND action = 'ALL'
  AND asset = 'ALL'
  AND transaction_count BETWEEN 0 AND 10
GROUP BY address"
Which addresses on Mirror have an NFT activity count of at least 619?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Mirror'
  AND action = 'ALL'
  AND asset = 'ALL'
  AND transaction_count >= 619
GROUP BY address"
What is the distribution of accounts with an NFT activity count between 400 to 619 on Mirror?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Mirror'
  AND action = 'ALL'
  AND asset = 'ALL'
  AND transaction_count BETWEEN 400 AND 619
GROUP BY address"
Which addresses have an NFT activity count between 200 to 400 active on Mirror?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Mirror'
  AND action = 'ALL'
  AND asset = 'ALL'
  AND transaction_count BETWEEN 200 AND 400
GROUP BY address"
Which accounts in the Web3 industry have an NFT activity count of 0-10?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Mirror'
  AND action = 'NFT Recipient'
  AND asset = 'ALL'
  AND transaction_count BETWEEN 0 AND 10
GROUP BY address"
Which addresses on ENS have an NFT activity count of at least 619?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ENS'
  AND action = 'NFT Recipient'
  AND asset = 'ALL'
  AND transaction_count >=619
GROUP BY address"
What is the distribution of accounts with an NFT activity count between 400 to 619 on ENS?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ENS'
  AND action = 'NFT Recipient'
  AND asset = 'ALL'
  AND transaction_count between 400 and 619
GROUP BY address"
Which accounts on ENS have an NFT Recipient activity count of 0-10?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ENS'
  AND action = 'NFT Recipient'
  AND asset = 'ALL'
  AND transaction_count BETWEEN 0 AND 10
GROUP BY address"
Which addresses on ENS have an NFT activity count of at least 619?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ENS'
  AND action = 'NFT Recipient'
  AND asset = 'ALL'
  AND transaction_count >=619
GROUP BY address"
Which addresses have an NFT activity count between 200 to 400 active on ENS?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ENS'
  AND action = 'NFT Recipient'
  AND asset = 'ALL'
  AND transaction_count BETWEEN 200 AND 400
GROUP BY address"
Which addresses on ENS have a registering activity count of at least 619?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ENS'
  AND action = 'registerer'
  AND asset = 'ALL'
  AND transaction_count >= 619
GROUP BY address"
Which accounts on ENS have a registering activity count of 0-10?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ENS'
  AND action = 'registerer'
  AND asset = 'ALL'
  AND transaction_count BETWEEN 0 AND 10
GROUP BY address"
Which addresses have a registering activity count between 200 to 400 on ENS?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ENS'
  AND action = 'registerer'
  AND asset = 'ALL'
  AND transaction_count BETWEEN 200 AND 400
GROUP BY address"
Which accounts on ENS have a renewing activity count of 0-10?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ENS'
  AND action = 'renewer'
  AND asset = 'ALL'
  AND transaction_count BETWEEN 0 AND 10
GROUP BY address"
Which addresses on ENS have a renewing activity count of at least 619?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ENS'
  AND action = 'renewer'
  AND asset = 'ALL'
  AND transaction_count >=619
GROUP BY address"
Which addresses have a renewing activity count between 200 to 400 on ENS?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ENS'
  AND action = 'renewer'
  AND asset = 'ALL'
  AND transaction_count BETWEEN 200 AND 400
GROUP BY address"
Which accounts on ENS have an airdrop activity count of 0-10?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ENS'
  AND action = 'Airdrop Recipient'
  AND asset = 'ALL'
  AND transaction_count BETWEEN 0 AND 10
GROUP BY address"
Which addresses on ENS have an airdrop activity count of at least 619?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ENS'
  AND action = 'Airdrop Recipient'
  AND asset = 'ALL'
  AND transaction_count >=619
GROUP BY address"
Which addresses have an airdrop activity count between 200 to 400 on ENS?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ENS'
  AND action = 'Airdrop Recipient'
  AND asset = 'ALL'
  AND transaction_count BETWEEN 200 AND 400
GROUP BY address"
Which accounts on Gitcoin have an activity count of 0-10?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Gitcoin'
  AND action = 'ALL'
  AND asset = 'ALL'
  AND transaction_count BETWEEN 0 AND 10
GROUP BY address"
Which addresses on Gitcoin have an activity count of at least 619?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Gitcoin'
  AND action = 'ALL'
  AND asset = 'ALL'
  AND transaction_count >=619
GROUP BY address"
Which addresses have an activity count between 200 to 400 active on Gitcoin?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Gitcoin'
  AND action = 'ALL'
  AND asset = 'ALL'
  AND transaction_count BETWEEN 200 AND 400
 GROUP BY address"
Which accounts on Gitcoin have donating activity count of 0-10?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Gitcoin'
  AND action = 'donator'
  AND asset = 'ALL'
  AND transaction_count BETWEEN 0 AND 10
GROUP BY address"
Which addresses have on Gitcoin have donating activity count of at least 619?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Gitcoin'
  AND action = 'donator'
  AND asset = 'ALL'
  AND transaction_count >619
GROUP BY address"
Which addresses have donating activity count between 200 to 400 on Gitcoin?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Gitcoin'
  AND action = 'donator'
  AND asset = 'ALL'
  AND transaction_count BETWEEN 200 AND 400
GROUP BY address"
Which accounts on Gitcoin have an airdrop activity count of 0-10?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Gitcoin'
  AND action = 'Airdrop Recipient'
  AND asset = 'ALL'
  AND transaction_count BETWEEN 0 AND 10
GROUP BY address"
Which addresses on Gitcoin have an airdrop activity count of at least 619?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Gitcoin'
  AND action = 'Airdrop Recipient'
  AND asset = 'ALL'
  AND transaction_count >= 619
GROUP BY address"
Which addresses have an airdrop activity count between 200 to 400 on Gitcoin?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Gitcoin'
  AND action = 'Airdrop Recipient'
  AND asset = 'ALL'
  AND transaction_count BETWEEN 200 AND 400
GROUP BY address"
Which addresses only have 1 NFT?,"select
 address
from
 wired_address_dataset
where
 b_type = 'nft'
 and statistical_type = 'nft'
 and platform_name = 'ALLNET'
 and action = 'ALL'
 and token = 'ALL'
 and balance_count = 1
 group by address"
Can you provide a list of users who are among the top 100 in terms of the number of NFTs collected?,"select
 address
from
 wired_address_dataset
where
 b_type = 'nft'
 and statistical_type = 'nft'
 and platform_name = 'ALLNET'
 and asset = 'ALL'
 and action = 'ALL' and balance_count>0
order by
 balance_count desc
limit 100"
Which users only have 1 CryptoPunks?,"select
 address
from
 wired_address_dataset
where
 b_type = 'nft'
AND statistical_type = 'nft' 
AND platform_name = 'ALLNET' 
AND action = 'ALL'
AND asset = 'CryptoPunks'
AND balance_count = 1
GROUP BY address"
Which users have more than 100 CryptoPunks?,"select
 address
from
 wired_address_dataset
where
 b_type = 'nft'
AND statistical_type = 'nft' 
AND platform_name = 'ALLNET' 
AND action = 'ALL'
AND asset = 'CryptoPunks'
AND balance_count >100
GROUP BY address"
Who are the top 0.1% of users with the most CryptoPunks collected? ,"select 
address
from
(select
 address
from
 wired_address_dataset
where
 b_type = 'nft'
 and statistical_type = 'nft'
 and platform_name = 'ALLNET'
 and asset = 'CryptoPunks'
 and action = 'ALL'
 and balance_usd>0
order by
 balance_count desc
limit 
  (
select
 floor(COUNT(distinct address) * 0.001)
from
 wired_address_dataset
where
 b_type = 'nft'
 and statistical_type = 'nft'
 and platform_name = 'ALLNET'
 and asset = 'CryptoPunks'
 and action = 'ALL'
 and balance_usd>0)) a
 group by address"
Can you provide a list of users who are among the top 100 in terms of the number of CryptoPunks collected?,"select
 address
from
 wired_address_dataset
where
 b_type = 'nft'
 and statistical_type = 'nft'
 and platform_name = 'ALLNET'
 and asset = 'CryptoPunks'
 and action = 'ALL' and balance_count >0
order by
 balance_count desc
limit 100"
Who has an NFT volume count of over 200?,"select
 address
from
 wired_address_dataset
where
 b_type = 'nft'
 and statistical_type = 'nft'
 and platform_name = 'ALLNET'
 and asset = 'ALL'
 and action = 'ALL'
 and transaction_volume_usd> 200
group by address"
Can you provide a list of users who are among the top 100 in terms of the volume of NFTs traded?,"  address
 from
  wired_address_dataset
 where
  b_type = 'nft'
  and statistical_type = 'nft'
  and platform_name = 'ALLNET'
  and asset = 'ALL'
  and action = 'ALL' and transaction_volume_usd > 0
 order by
  transaction_volume_usd desc
 limit 100"
Which users rank in the top 1% in both activity and volume of NFTs traded?,"select
  address
 from
  (
  select
   a2.address,
   cast(a2.count_sum as numeric)/ cast(count_sum_total as numeric) as zb_rate,
   cast(a2.transfer_count_sum as numeric) /cast(a2.count_sum_total as numeric) as zb_rate_transfer_count
  from
   (
   select
    a1.address,
    count_sum_total,
    row_number() over(order by transaction_volume_usd desc) as count_sum,
    row_number() over(order by transaction_count desc) as transfer_count_sum
   from
    (
    select
     transaction_volume_usd,
     transaction_count,
     address
    from wired_address_dataset
    where
     b_type = 'nft'
     and statistical_type = 'nft'
     and platform_name = 'ALlNET'
     and asset = 'ALL'
     and action = 'ALL'
     and transaction_volume_usd >0
     group by address,transaction_volume_usd,
     transaction_count) as a1
   inner join
   (
    select
     count(distinct address) as count_sum_total
    from
     wired_address_dataset
    where
     b_type = 'nft'
     and statistical_type = 'nft'
     and platform_name = 'ALlNET'
     and asset = 'ALL'
     and action = 'ALL'
     and transaction_volume_usd >0
     ) totala on 1 = 1) as a2) a
 where
  zb_rate <= 0.01
  and zb_rate_transfer_count <= 0.01"
Which addresses have an NFT sale Volume count of 1-2?,"select
 address
from
 wired_address_dataset
where
 b_type = 'nft'
 and statistical_type = 'nft'
 and platform_name = 'ALLNET'
 and asset = 'ALL'
 and action = 'Sale'
 and transaction_volume_usd between 1 and 2
group by address"
Which users have an NFT sale Volume count of over 200?,"select
 address
from
 wired_address_dataset
where
 b_type = 'nft'
 and statistical_type = 'nft'
 and platform_name = 'ALLNET'
 and asset = 'ALL'
 and action = 'Sale'
 and transaction_volume_usd >200
group by address"
