label_name,desc
 Sushiswap Elite Swap Trader,"Made trades on Sushiswap, and is in the top 1% in number of swap volume traded."
 Sushiswap Legendary Swap Trader,"Made trades on Sushiswap, and is in the top 0.1% in number of swap volume traded."
 Sushiswap LP Vol Lv1,"Made trades on Sushhaswap, and has $100-$1,000 in number of LP volume traded."
Sushiswap Million LP Trader,"Made trades on Sushhaswap, and has $1 Million in number of LP volume traded."
Sushiswap Billion LP Trader,"Made trades on Sushhaswap, and has $1 Billion in number of LP volume traded."
 Sushiswap Medium LP Trader,"Made trades on Sushiswap, and is in the top 10% in number of LP  volume traded."
 Sushiswap Heavy LP Trader,"Made trades on Sushiswap, and is in the top 2.5% in number of LP  volume traded."
 Sushiswap Elite LP Trader,"Made trades on Sushiswap, and is in the top 1% in number of LP  volume traded."
 Sushiswap Legendary LP Trader,"Made trades on Sushiswap, and is in the top 0.1% in number of LP  volume traded."
Sushiswap StakeLP Vol L1,"Made trades on Sushiswap, and is $100-$1,000 in number of StakeLP volume traded."
Sushiswap Medium StakeLP Trader,"Made trades on Sushiswap, and is in the top 10% in number of StakeLP volume traded."
Sushiswap Heavy StakeLP Trader,"Made trades on Sushiswap, and is in the top 2.5% in number of StakeLP  volume traded."
Sushiswap Elite StakeLP Trader,"Made trades on Sushiswap, and is in the top 1% in number of StakeLP volume traded."
Sushiswap Legendary StakeLP Trader,"Made trades on Sushiswap, and is in the top 0.1% in number of StakeLP  volume traded."
 0x Vol Lv1,"Made trades on 0x, and has $100-$1,000 in number of volume traded."
0x Million Trader,"Made trades on 0x, and has $1 Million in number of volume traded."
0x Billion Trader,"Made trades on 0x, and has $1 Billion in number of volume traded."
 0x Medium Trader,"Made trades on 0x, and is in the top 10% in number of volume traded."
 0x Heavy Trader,"Made trades on 0x, and is in the top 2.5% in number of volume traded."
 0x Elite Trader,"Made trades on 0x, and is in the top 1% in number of volume traded."
 0x Legendary Trader,"Made trades on 0x, and is in the top 0.1% in number of volume traded."
 0x Vol Lv1,"Made trades on 0x, and has $100-$1,000 in number of volume traded."
0x Million Trader,"Made trades on 0x, and has $1 Million in number of volume traded."
0x Billion Trader,"Made trades on 0x, and has $1 Billion in number of volume traded."
 0x Medium Trader,"Made trades on 0x, and is in the top 10% in number of volume traded."
 0x Heavy Trader,"Made trades on 0x, and is in the top 2.5% in number of volume traded."
 0x Elite Trader,"Made trades on 0x, and is in the top 1% in number of volume traded."
 0x Legendary Trader,"Made trades on 0x, and is in the top 0.1% in number of volume traded."
 0x Swap Vol Lv1,"Made volume tradeds on 0x, and has $100-$1,000 in number of swap volume tradedd."
0x Million Swap Trader,"Made trades on 0x, and has $1 Million in number of swap volume traded."
0x Billion Swap Trader,"Made trades on 0x, and has $1 Billion in number of swap volume traded."
 0x Medium Swap Trader,"Made volume tradeds on 0x, and is in the top 10% in number of swap volume tradedd."
 0x Heavy Swap Trader,"Made volume tradeds on 0x, and is in the top 2.5% in number of swap volume tradedd."
 0x Elite Swap Trader,"Made volume tradeds on 0x, and is in the top 1% in number of swap volume tradedd."
 0x Legendary Swap Trader,"Made volume tradeds on 0x, and is in the top 0.1% in number of swap volume tradedd."
 1Inch Vol Lv1,"Made trades on 1Inch, and has $100-$1,000 in number of volume traded."
1inch Million Trader,"Made trades on 1inch, and has $1 Million in number of volume traded."
1inch Billion Trader,"Made trades on 1inch, and has $1 Billion in number of volume traded."
 1Inch Medium Trader,"Made trades on 1Inch, and is in the top 10% in number of volume traded."
 1Inch Heavy Trader,"Made trades on 1Inch, and is in the top 2.5% in number of volume traded."
 1Inch Elite Trader,"Made trades on 1Inch, and is in the top 1% in number of volume traded."
 1Inch Legendary Trader,"Made trades on 1Inch, and is in the top 0.1% in number of volume traded."
 1Inch Vol Lv1,"Made trades on 1Inch, and has $100-$1,000 in number of volume traded."
1inch Million Trader,"Made trades on 1inch, and has $1 Million in number of volume traded."
1inch Billion Trader,"Made trades on 1inch, and has $1 Billion in number of volume traded."
 1Inch Medium Trader,"Made trades on 1Inch, and is in the top 10% in number of volume traded."
 1Inch Heavy Trader,"Made trades on 1Inch, and is in the top 2.5% in number of volume traded."
 1Inch Elite Trader,"Made trades on 1Inch, and is in the top 1% in number of volume traded."
 1Inch Legendary Trader,"Made trades on 1Inch, and is in the top 0.1% in number of volume traded."
 1Inch Swap Vol Lv1,"Made trades on 1Inch, and has $100-$1,000 in number of swap volume traded."
1inch Million Swap Trader,"Made trades on 1inch, and has $1 Million in number of swap volume traded."
1inch Billion Swap Trader,"Made trades on 1inch, and has $1 Billion in number of swap volume traded."
 1Inch Medium Swap Trader,"Made trades on 1Inch, and is in the top 10% in number of swap volume traded."
 1Inch Heavy Swap Trader,"Made trades on 1Inch, and is in the top 2.5% in number of swap volume traded."
 1Inch Elite Swap Trader,"Made trades on 1Inch, and is in the top 1% in number of swap volume traded."
 1Inch Legendary Swap Trader,"Made trades on 1Inch, and is in the top 0.1% in number of swap volume traded."
 1Inch LP Vol Lv1,"Made trades on 1Inch, and has $100-$1,000 in number of LP volume traded."
1inch Million LP Trader,"Made trades on 1inch, and has $1 Million in number of LP volume traded."
1inch Billion LP Trader,"Made trades on 1inch, and has $1 Billion in number of LP volume traded."
 1Inch Medium LP Trader,"Made trades on 1Inch, and is in the top 10% in number of LP  volume traded."
 1Inch Heavy LP Trader,"Made trades on 1Inch, and is in the top 2.5% in number of LP  volume traded."
 1Inch Elite LP Trader,"Made trades on 1Inch, and is in the top 1% in number of LP  volume traded."
 1Inch Legendary LP Trader,"Made trades on 1Inch, and is in the top 0.1% in number of LP  volume traded."
1Inch StakeLP Vol L1,"Made trades on 1Inch, and is $100-$1,000 in number of StakeLP volume traded."
1Inch Medium StakeLP Trader,"Made trades on 1Inch, and is in the top 10% in number of StakeLP volume traded."
1Inch Heavy StakeLP Trader,"Made trades on 1Inch, and is in the top 2.5% in number of StakeLP  volume traded."
1Inch Elite StakeLP Trader,"Made trades on 1Inch, and is in the top 1% in number of StakeLP volume traded."
1Inch Legendary StakeLP Trader,"Made trades on 1Inch, and is in the top 0.1% in number of StakeLP  volume traded."
 Mooniswap Vol Lv1,"Made trades on Mooniswap, and has $100-$1,000 in number of volume traded."
Mooniswap Million Trader,"Made trades on Mooniswap, and has $1 Million in number of volume traded."
Mooniswap Billion Trader,"Made trades on Mooniswap, and has $1 Billion in number of volume traded."
 Mooniswap Medium Trader,"Made trades on Mooniswap, and is in the top 10% in number of volume traded."
 Mooniswap Heavy Trader,"Made trades on Mooniswap, and is in the top 2.5% in number of volume traded."
 Mooniswap Elite Trader,"Made trades on Mooniswap, and is in the top 1% in number of volume traded."
 Mooniswap Legendary Trader,"Made trades on Mooniswap, and is in the top 0.1% in number of volume traded."
 Mooniswap Vol Lv1,"Made trades on Mooniswap, and has $100-$1,000 in number of volume traded."
Mooniswap Million Trader,"Made trades on Mooniswap, and has $1 Million in number of volume traded."
Mooniswap Billion Trader,"Made trades on Mooniswap, and has $1 Billion in number of volume traded."
 Mooniswap Medium Trader,"Made trades on Mooniswap, and is in the top 10% in number of volume traded."
 Mooniswap Heavy Trader,"Made trades on Mooniswap, and is in the top 2.5% in number of volume traded."
 Mooniswap Elite Trader,"Made trades on Mooniswap, and is in the top 1% in number of volume traded."
 Mooniswap Legendary Trader,"Made trades on Mooniswap, and is in the top 0.1% in number of volume traded."
 Mooniswap Swap Vol Lv1,"Made trades on Mooniswap, and has $100-$1,000 in number of swap volume traded."
Mooniswap Million Swap Trader,"Made trades on Mooniswap, and has $1 Million in number of swap volume traded."
Mooniswap Billion Swap Trader,"Made trades on Mooniswap, and has $1 Billion in number of swap volume traded."
 Mooniswap Medium Swap Trader,"Made trades on Mooniswap, and is in the top 10% in number of swap volume traded."
 Mooniswap Heavy Swap Trader,"Made trades on Mooniswap, and is in the top 2.5% in number of swap volume traded."
 Mooniswap Elite Swap Trader,"Made trades on Mooniswap, and is in the top 1% in number of swap volume traded."
 Mooniswap Legendary Swap Trader,"Made trades on Mooniswap, and is in the top 0.1% in number of swap volume traded."
Mooniswap LP Vol Lv1,"Made trades on Mooniswap, and has $100-$1,000 in number of LP volume traded."
Mooniswap Million LP Trader,"Made trades on Mooniswap, and has $1 Million in number of LP volume traded."
Mooniswap Billion LP Trader,"Made trades on Mooniswap, and has $1 Billion in number of LP volume traded."
Mooniswap Medium LP Trader,"Made trades on Mooniswap, and is in the top 10% in number of LP  volume traded."
Mooniswap Heavy LP Trader,"Made trades on Mooniswap, and is in the top 2.5% in number of LP  volume traded."
Mooniswap Elite LP Trader,"Made trades on Mooniswap, and is in the top 1% in number of LP  volume traded."
Mooniswap Legendary LP Trader,"Made trades on Mooniswap, and is in the top 0.1% in number of LP  volume traded."
 Token Activity Lv1,"An account with an ETH and Erc20 Token activity count of 0-10, where an activity is defined by outgoing transactions or transactions that contain outgoing token transfers related to the account."
 Token Highest Activity,"An account with an ETH and Erc20 Token activity count of at least 619, where an activity is defined by outgoing transactions or transactions that contain outgoing token transfers related to the account."
 Token High Activity,"An account with an ETH and Erc20 Token activity count between 400 to 619, where an activity is defined by outgoing transactions or transactions that contain outgoing token transfers related to the account."
 Token Medium Activity,"An account with an ETH and Erc20 Token activity count between 200 to 400, where an activity is defined by outgoing transactions or transactions that contain outgoing token transfers related to the account."
 DEX Activity Lv1,"An account with an activity count of 0-10 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Highest DEX Activity,"An account with an activity count of at least 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 High DEX Activity,"An account with an activity count between 400 to 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Medium DEX Activity,"An account with an activity count between 200 to 400 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 DEX Activity Lv1,"An account with an activity count of 0-10 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Highest DEX Activity,"An account with an activity count of at least 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 High DEX Activity,"An account with an activity count between 400 to 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Medium DEX Activity,"An account with an activity count between 200 to 400 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 DEX Activity Lv1,"An account with an activity count of 0-10 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Highest DEX Activity,"An account with an activity count of at least 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 High DEX Activity,"An account with an activity count between 400 to 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Medium DEX Activity,"An account with an activity count between 200 to 400 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Swap Activity Lv1,"An account with a Swap activity count of 0-10 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Highest Swap Activity,"An account with a Swap activity count of at least 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 High Swap Activity,"An account with a Swap activity count between 400 to 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Medium Swap Activity,"An account with a Swap activity count between 200 to 400 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 LP Activity Lv1,"An account with a LP activity count of 0-10 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Highest LP Activity,"An account with a LP activity count of at least 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 High LP Activity,"An account with a LP activity count between 400 to 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Medium LP Activity,"An account with a LP activity count between 200 to 400 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 StakeLP Activity L1,"An account with a StakeLP activity count of 0-10 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Highest StakeLP Activity,"An account with a StakeLP activity count of at least 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 High StakeLP Activity,"An account with a StakeLP activity count between 400 to 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Medium StakeLP Activity,"An account with a StakeLP activity count between 200 to 400 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Uniswap Activity Lv1,"An account with an activity count of 0-10 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Uniswap Highest Activity,"An account with an activity count of at least 619 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Uniswap High Activity,"An account with an activity count between 400 to 619 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Uniswap Medium Activity,"An account with an activity count between 200 to 400 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Uniswap Activity Lv1,"An account with an activity count of 0-10 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Uniswap Highest Activity,"An account with an activity count of at least 619 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Uniswap High Activity,"An account with an activity count between 400 to 619 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Uniswap Medium Activity,"An account with an activity count between 200 to 400 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Uniswap Swap Activity Lv1,"An account with a swap activity count of 0-10 on Uniswap, where an activity is defined by transactions that contain incoming or outgoing token transfers related to the account."
 Uniswap Highest Swap Activity,"An account with a swap activity count of at least 619 on Uniswap, where an activity is defined by transactions that contain incoming or outgoing token transfers related to the account."
 Uniswap High Swap Activity,"An account with a swap activity count between 400 to 619 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Uniswap Medium Swap Activity,"An account with a swap activity count between 200 to 400 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account"
 Uniswap LP Activity Lv1,"An account with a LP activity count of 0-10 on Uniswap, where an activity is defined by transactions that contain incoming or outgoing token transfers related to the account."
 Uniswap Highest LP Activity,"An account with a LP activity count of at least 619 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
 Uniswap High LP Activity,"An account with a LP activity count between 400 to 619 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account"
